"GEOID","COUNTY","POWERCO","POP07","POP08","POP09","POP10","POP11","MEDIANAGE","AGEDUMMY","PCTWHITE","HHTOT","HHSIZE","HHBYPOP07","HHBYPOP08","HHBYPOP09","HHBYPOP10","HHBYPOP11","HHNONRENT","HHPCTRENTEROCCUPIED","CITYSOLARPOT","PCTWEALTHY","MEDIANINCOME","PWRPRICE2007","PWRPRICE2008","PWRPRICE2009","PWRPRICE2010","PWRPRICE2011","HHS_OO07","HHS_OO08","HHS_OO09","HHS_OO10","PCTWEALTHOOH07","PCTWEALTHOOH08","PCTWEALTHOOH09","PCTWEALTHOOH10","TOTALOOH07","TOTALOOH08","TOTALOOH09","TOTALOOH10","TOTALHH07","TOTALHH08","TOTALHH09","TOTALHH10","PCTVET07","PCTVET08","PCTVET09","PCTVET10","PCTBS07","PCTBS08","PCTBS09","PCTBS10","PCTBS_FULL","PCTGRAD_FULL","PCTVETERANS","REP","city"
649852,"Shasta","PG&E",3480,3438,3435,3404,3402,45.7000007629395,1,89.5999984741211,1664,2.01999998092651,1722.77001953125,1701.97998046875,1700.5,1685.15002441406,1684.16003417969,1012,53.0999984741211,5.32,8.233,26500,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,9.60000038146973,9.60999965667725,1,"Mount Shasta"
649670,"Santa Clara","PG&E",71410,72063,73074,73958,74723,35.9000015258789,1,56,31957,2.30999994277954,30913.419921875,31196.099609375,31633.76953125,32016.44921875,32347.619140625,15256,58.2999992370605,5.39,31.48,69362,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,2.247,2.235,2.321,2.391,0.564727245,0.590950158,0.60049403,0.581384324,13217,13282,12145,12656,31508,31521,29361,30769,0.052509237,0.0596654,0.05143551,0.051692713,0.573,0.566,0.571,0.579,28.2999992370605,30.3999996185303,5.30999994277954,0,"Mountain View"
650076,"Riverside","SCE",97747,100476,101998,103066,104459,33.4000015258789,0,69.6999969482422,32749,3.15000009536743,31030.7890625,31897.140625,32380.3203125,32719.369140625,33161.58984375,25655,29.3999996185303,5.87,19.944,60911,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,3.12,3.135,3.146,3.138,0.408305903,0.453459691,0.447581735,0.42212231,22177,23109,22206,21797,28838,29971,29553,29918,0.120677499,0.115599478,0.110094509,0.102903854,0.264,0.268,0.298,0.292,20.2000007629395,8.80000019073486,11.5500001907349,1,"Murrieta"
650258,"Napa","PG&E",74688,75186,76090,76856,77464,37.4000015258789,1,75.0999984741211,28166,2.69000005722046,27765.060546875,27950.189453125,28286.25,28571,28797.029296875,18131,42.7000007629395,5.53,15.656,49154,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,2.562,2.642,2.538,2.516,0.374428139,0.419567037,0.405574788,0.407331618,16831,16722,16754,17104,28109,27996,27633,28414,0.10238037,0.089960386,0.094643142,0.094003862,0.246,0.251,0.257,0.27,17.6000003814697,8.69999980926514,9.43000030517578,0,"Napa"
650398,"San Diego","CCSE",56491,56889,57412,58593,58785,30.2000007629395,0,42.2000007629395,15502,3.41000008583069,16566.279296875,16682.990234375,16836.359375,17182.69921875,17239,6457,66.5,5.58,3.737,29826,0.159999996423721,0.156000003218651,0.180999994277954,0.177000001072884,0.184000000357628,3.219,3.285,3.22,3.117,0.17104999,0.23304721,0.207253886,0.170317154,4981,4660,4825,5707,14474,14211,14533,16255,0.083267411,0.082035054,0.067148875,0.064664776,0.086,0.123,0.136,0.139,10.3000001907349,2.29999995231628,7.05000019073486,0,"National City"
650734,"San Bernardino","SCE",5063,5005,4927,4861,4874,39.2999992370605,1,75.6999969482422,1918,2.51999998092651,2009.13000488281,1986.10998535156,1955.16003417969,1928.96997070312,1934.13000488281,1992,47.0999984741211,6.38,3.692,26108,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.80000019073486,2.29999995231628,13.539999961853,1,"Needles"
650874,"Nevada","PG&E",3057,3077,3061,3065,3121,47.5,1,92.5,1356,2.08999991416931,1462.68005371094,1472.25,1464.58996582031,1466.51000976562,1493.30004882812,940,42,5.56,10.736,36667,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2000007629395,11.6999998092651,14.3299999237061,1,"Nevada City"
650916,"Alameda","PG&E",42221,42327,42429,42592,42764,35.4000015258789,0,41.2999992370605,12972,3.26999998092651,12911.6201171875,12944.0400390625,12975.23046875,13025.080078125,13077.6796875,9384,31.1000003814697,5.39,26.298,69350,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,3.076,3.083,3.059,3.051,0.422535211,0.40922252,0.411790204,0.484093437,9585,9325,9228,8990,12757,12726,12751,13016,0.064339493,0.064821237,0.060749013,0.063319848,0.282,0.272,0.28,0.291,20.5,7.80000019073486,6,0,"Newark"
651140,"Stanislaus","PG&E",9799,10029,10183,10208,10505,30.7000007629395,0,66.5999984741211,3006,3.38000011444092,2899.11010742188,2967.15991210938,3012.71997070312,3020.1201171875,3107.98999023438,2353,33.4000015258789,5.73,6.782,39460,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.19999980926514,1.39999997615814,9.35000038146973,0,"Newman"
651182,"Orange","SCE",82212,82720,84595,85093,85376,44,1,87.3000030517578,38751,2.19000005722046,37539.73046875,37771.69140625,38627.8515625,38855.25,38984.46875,26666,45.2000007629395,5.35,42.491,83455,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,2.391,2.403,2.38,2.318,0.622212291,0.658305726,0.661267099,0.657592372,22375,21130,19446,20975,36748,36470,35370,38161,0.102335326,0.098210175,0.095333954,0.092858974,0.609,0.624,0.627,0.633,36.2000007629395,26.2999992370605,9.39999961853027,1,"Newport Beach"
651560,"Riverside","SCE",27017,26812,26852,27069,27060,39.5,1,76.3000030517578,7023,3.23000001907349,8364.400390625,8300.9296875,8313.3095703125,8380.5,8377.7099609375,6001,18.7999992370605,5.64,21.538,62652,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,3.123,3.224,3.207,3.212,0.433747972,0.424566581,0.463933576,0.431209269,5547,5422,5781,5524,6797,6680,6720,6821,0.09451047,0.092316352,0.085851319,0.079333238,0.133,0.118,0.149,0.17,11.3000001907349,4.19999980926514,9.19999980926514,1,"Norco"
652526,"Los Angeles","SCE",105785,105404,105330,105529,105808,32.5,0,49.4000015258789,27130,3.82999992370605,27620.099609375,27520.630859375,27501.310546875,27553.259765625,27626.109375,18624,34.9000015258789,5.54,8.801,46047,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,3.585,3.521,3.581,3.568,0.176638177,0.214002205,0.244464023,0.290768099,18954,18140,17025,17667,27720,27446,25860,27288,0.053294599,0.052125499,0.052219392,0.04805462,0.131,0.13,0.141,0.157,11.6000003814697,3.40000009536743,4.98000001907349,0,"Norwalk"
